dateSold,lotAreaValue,priceChange,zestimate,initialPrice,bedrooms,longitude,latitude,listingStatus,zpid,rent,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,street,city,state,zip,currentPrice,loadDate
,0.0,0.0,905600.0,899000,3,-84.2846,34.081577,FOR_SALE,14689155,2400.0,1,2.0,1700,USA,USD,acres,true,101 Jayne Ellen Way,Alpharetta,GA,30009,899000.0,2024-03-13
,0.0,0.0,989800.0,1025000,5,-84.256874,34.053925,FOR_SALE,55007942,5904.0,29,5.0,5047,USA,USD,acres,true,240 Boxgrove Rd,Alpharetta,GA,30022,1025000.0,2024-03-13
,9944.748,0.0,533800.0,546000,4,-84.235634,34.05042,FOR_SALE,14651615,2525.0,41,3.0,1805,USA,USD,sqft,true,4205 Pine Vista Blvd,Alpharetta,GA,30022,546000.0,2024-03-13
,0.0,-15000.0,659400.0,675000,4,-84.30367,34.0986,FOR_SALE,14687086,3794.0,34,3.0,2552,USA,USD,acres,true,4195 Providence Sq,Alpharetta,GA,30009,660000.0,2024-03-13
,0.0,0.0,729200.0,737000,3,-84.348656,34.085224,FOR_SALE,14684672,3200.0,14,3.0,2765,USA,USD,acres,true,410 Singletree Trce,Alpharetta,GA,30004,737000.0,2024-03-13
,0.0,-25100.0,633100.0,649900,4,-84.24646,34.04535,FOR_SALE,14650347,3499.0,55,4.0,2652,USA,USD,acres,true,10830 Grenadier Ln,Alpharetta,GA,30022,624800.0,2024-03-13
,0.0,-25000.0,651100.0,675000,3,-84.28807,34.084774,FOR_SALE,14688646,2500.0,41,2.0,1623,USA,USD,acres,true,61 Denna Pl,Alpharetta,GA,30009,650000.0,2024-03-13
,1.88,-100000.0,1598000.0,1699000,10,-84.22431,34.091145,FOR_SALE,65452520,11502.0,1,13.0,8027,USA,USD,acres,true,10 Club Ct,Alpharetta,GA,30005,1599000.0,2024-03-13
,9583.2,0.0,661300.0,679000,4,-84.242546,34.066082,FOR_SALE,14650278,3262.0,1,4.0,3287,USA,USD,sqft,true,770 Highmeade Ter,Alpharetta,GA,30005,679000.0,2024-03-13
,0.0,0.0,930000.0,965000,5,-84.324196,34.088043,FOR_SALE,14686113,5407.0,86,5.0,4410,USA,USD,acres,true,185 Brighton Cir,Alpharetta,GA,30004,965000.0,2024-03-13
,6098.4,-15000.0,1152200.0,1185000,5,-84.305084,34.051815,FOR_SALE,306365832,6283.0,28,5.0,3780,USA,USD,sqft,true,585 Opera Ln,Alpharetta,GA,30009,1170000.0,2024-03-13
,6534.0,0.0,647300.0,640000,4,-84.22576,34.163155,FOR_SALE,114457553,2898.0,1,4.0,2520,USA,USD,sqft,true,4915 Brierstone Dr,Alpharetta,GA,30004,640000.0,2024-03-13
,0.0,0.0,768600.0,750000,4,-84.243095,34.068672,FOR_SALE,35817056,3371.0,1,4.0,3298,USA,USD,acres,true,520 Tumbling Creek Dr,Alpharetta,GA,30005,750000.0,2024-03-13
,0.0,-50000.0,0.0,1350000,6,-84.25526,34.13216,FOR_SALE,68630469,0.0,40,7.0,6099,USA,USD,acres,true,6670 Tulip Garden Way,Alpharetta,GA,30004,1300000.0,2024-03-13
,0.0,-25000.0,719300.0,749999,4,-84.30882,34.073586,FOR_SALE,14687401,3099.0,54,3.0,2280,USA,USD,acres,true,181 Burnett Way,Alpharetta,GA,30009,724999.0,2024-03-13
,5009.4,0.0,2802500.0,2800000,5,-84.28053,34.07055,FOR_SALE,283677503,10597.0,1,5.0,3839,USA,USD,sqft,true,326 S Esplanade,Alpharetta,GA,30009,2800000.0,2024-03-13
,0.0,0.0,2585500.0,2750000,5,-84.22623,34.07728,FOR_SALE,14680881,11747.0,1,5.0,5562,USA,USD,acres,true,721 Eagles Mere Ct,Alpharetta,GA,30005,2750000.0,2024-03-13
